CMS_Certification_Number_|CCN|,Provider_Name,City,ZIP,Phone,Type_of_Ownership,Offers_Nursing_Care_Services,Offers_Physical_Therapy_Services,Offers_Occupational_Therapy_Services,Offers_Speech_Pathology_Services,Offers_Medical_Social_Services,Offers_Home_Health_Aide_Services,Date_Certified,Quality_of_patient_care_star_rating,How_often_the_home_health_team_began_their_patients'_care_in_a_timely_manner,How_often_the_home_health_team_taught_patients_|or_their_family_caregivers|_about_their_drugs,How_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,How_often_patients_got_better_at_walking_or_moving_around,How_often_patients_got_better_at_getting_in_and_out_of_bed,How_often_patients_got_better_at_bathing,How_often_patients'_breathing_improved,How_often_patients_got_better_at_taking_their_drugs_correctly_by_mouth,How_often_home_health_patients_had_to_be_admitted_to_the_hospital,Changes_in_skin_integrity_post-acute_care:_pressure_ulcer/injury,How_often_physician-recommended_actions_to_address_medication_issues_were_completely_timely,DTC_Numerator,DTC_Denominator,DTC_Observed_Rate,DTC_Risk-Standardized_Rate,DTC_Risk-Standardized_Rate_|Lower_Limit|,DTC_Risk-Standardized_Rate_|Upper_Limit|,DTC_Performance_Categorization,PPR_Numerator,PPR_Denominator,PPR_Observed_Rate,PPR_Risk-Standardized_Rate,PPR_Risk-Standardized_Rate_|Lower_Limit|,PPR_Risk-Standardized_Rate_|Upper_Limit|,PPR_Performance_Categorization
58107,PARTNERS HOME HEALTH CARE  INC,GLENDALE,91204,8182477650,PROPRIETARY,Yes,No,No,No,No,Yes,3/21/2002,2.5,99,86.7,69.4,73.4,70.1,74.7,81.9,66,17.9,0.6,81.3,110,145,75.86,86.68,78.8,93.23,Better Than National Rate,4,87,4.6,3.51,2.55,4.79,Same As National Rate
58108,BEVERLY HILLS H H CARE  INC,BEVERLY HILLS,90211,3106597950,PROPRIETARY,Yes,No,No,No,No,Yes,3/13/2002,4,100,100,100,80.5,95.9,78.6,81,84.8,16.1,0.8,94.5,602,776,77.58,85.23,82.36,88.38,Better Than National Rate,10,149,6.71,3.61,2.69,4.88,Same As National Rate
58110,NEW HAVEN HOME HEALTH SERVICES  INC.,DALY CITY,94015,6503011660,PROPRIETARY,No,No,No,Yes,Yes,Yes,4/17/2002,4,98.2,99.7,73.7,83.3,94.6,87.7,92.2,78.8,14.4,0.5,99.5,414,512,80.86,85.77,82.6,89.11,Better Than National Rate,9,338,2.66,3.24,2.41,4.34,Same As National Rate
58111,INNOVATIVE HOME HEALTH CARE,SOUTH PASADENA,91030,5628605353,PROPRIETARY,Yes,No,No,No,No,Yes,4/4/2002,1.5,89.4,97.9,75.7,59.7,57.6,66,67.3,63.8,15.9,0,95.7,230,273,84.25,87.01,82.35,90.85,Better Than National Rate,7,225,3.11,3.49,2.53,4.93,Same As National Rate
58113,LORIAN HEALTH,SAN DIEGO,92123,6192808184,PROPRIETARY,Yes,No,No,No,Yes,Yes,4/24/2002,3.5,96.9,96.3,82,84.1,84.4,87.7,86.1,85.1,15.1,0.4,92.9,1096,1378,79.54,84.52,82.33,86.73,Better Than National Rate,16,475,3.37,3.37,2.53,4.45,Same As National Rate
58115,CARE BEST HOME HEALTH INC,ALHAMBRA,91801,6262822611,PROPRIETARY,Yes,No,No,No,No,Yes,4/25/2002,4,99.1,100,97.5,84.6,72.8,92.2,100,91.5,15.8,0,100,528,588,89.8,94.13,91.29,96.61,Better Than National Rate,11,168,6.55,3.83,2.75,5.32,Same As National Rate
58116,CARE UNLIMITED HEALTH SERVICES  INC,GLENDORA,91740,6263323767,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,No,No,No,Yes,5/13/2002,3,100,100,61.3,74,85.7,78.1,66.7,60,16.2,0,100,78,99,78.79,85.77,77.26,92.96,Same As National Rate,6,79,7.59,3.77,2.63,5.17,Same As National Rate
58117,ASSURED HOME HEALTH,CHICO,95926,5303427248,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,4/18/2002,3.5,98.9,99.4,74.5,83.4,86.4,86.6,91.3,78,22.3,0.9,79.8,759,986,76.98,84.07,81.47,87.08,Better Than National Rate,27,661,4.08,3.68,2.77,4.66,Same As National Rate
58118,A-1 HOME HEALTH SERVICES INC,SIMI VALLEY,93063,8055848146,PROPRIETARY,Yes,No,No,No,No,No,6/3/2002,3.5,100,96.9,92.6,77.5,85.5,84.3,66.2,70.1,12.8,0,97,82,207,39.61,39.77,33.36,46.52,Worse Than National Rate,,16,,,,,Not Available
58119,CQI HOMECARE,PASADENA,91107,6264324830,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,6/14/2002,,,,,,,,,,,,,,,,,,,,,,,,,,
58121,HAVEN HEALTHCARE,SIGNAL HILL,90755,5622900558,PROPRIETARY,Yes,Yes,No,No,Yes,Yes,6/25/2002,2,93.6,98.2,61.6,64.9,67.8,57.9,75.1,57.1,13.9,1.4,95.7,78,106,73.58,78.07,69.96,85.61,Same As National Rate,6,52,11.54,3.97,2.86,5.41,Same As National Rate
58123,SUTTER VISITING NURSE ASSOCIATION & HOSPICE,SAN MATEO,94402,6506852800,VOLUNTARY NON-PROFIT - OTHER,Yes,Yes,Yes,Yes,Yes,Yes,10/1/2002,3.5,97.8,97.8,78.1,78.8,82.1,83.1,88.8,77.4,13.5,0.2,96.4,2732,3218,84.9,88.59,87.4,90.02,Better Than National Rate,42,1863,2.25,3.04,2.39,3.74,Same As National Rate
58124,PRECIOUS HOME HEALTH SERVICES,WALNUT,91789,6265814174,PROPRIETARY,Yes,No,No,No,No,No,6/21/2002,4,88.3,100,94,91.9,100,85.6,99.4,100,15,0,93.3,147,190,77.37,84.82,77.4,90.66,Same As National Rate,5,94,5.32,3.56,2.62,4.87,Same As National Rate
58126,CARECHOICES HOME HEALTH SERVICES  INC,FULLERTON,92831,7145157650,PROPRIETARY,Yes,No,No,No,Yes,Yes,6/25/2002,3.5,100,99.7,86.7,81.2,81.9,81.6,81.5,64.4,12.5,0.3,100,404,505,80,86.05,82.13,89.45,Better Than National Rate,15,455,3.3,3.46,2.61,4.67,Same As National Rate
58127,FOUNTAIN HOME HEALTH  INC,LOS ANGELES,90029,3236638411,PROPRIETARY,Yes,No,No,No,No,Yes,6/28/2002,4,98.7,97.4,75.8,79.3,83.2,93.1,88.2,88.4,16,1.7,96.1,188,262,71.76,79.07,72.8,84.17,Same As National Rate,6,128,4.69,3.54,2.64,4.97,Same As National Rate
58128,PRISTINE HOME HEALTH INC,BURBANK,91504,8185824110,VOLUNTARY NON-PROFIT - PRIVATE,Yes,No,No,No,No,Yes,8/20/2002,3.5,97,95.4,94.2,80.6,82.6,84.1,86.5,78.4,14.6,0,92.9,516,617,83.63,87.38,84.41,90.36,Better Than National Rate,10,258,3.88,3.64,2.73,4.95,Same As National Rate
58129,PASADENA HOME HEALTH CARE,PASADENA,91107,6263511300,PROPRIETARY,No,No,No,No,No,Yes,8/12/2002,2.5,83.5,99.7,75.6,81.5,78.2,76.2,74.8,76.5,16.3,0,82.6,597,726,82.23,91.94,88.93,94.93,Better Than National Rate,7,504,1.39,2.75,2.04,3.81,Same As National Rate
58131,MISSION HOME HEALTH SERVICES  INC,LOS ANGELES,90020,2133874663,PROPRIETARY,Yes,No,No,No,No,Yes,9/6/2002,4,100,99.8,98.6,83.3,90.4,86.1,84.9,82,13.2,0,100,530,586,90.44,93.61,90.91,95.84,Better Than National Rate,6,241,2.49,3.28,2.37,4.62,Same As National Rate
58132,EVERGREEN HOME HEALTH,CERRITOS,90703,5628609444,PROPRIETARY,Yes,No,No,No,No,Yes,9/13/2002,2.5,98.5,95.9,88.7,65.4,79.4,68.1,80.6,58.3,15,0,95,376,463,81.21,86.68,82.87,90.32,Better Than National Rate,6,210,2.86,3.35,2.46,4.72,Same As National Rate
58133,CARE PROVIDERS  INC,LOS ANGELES,90010,2133861200,PROPRIETARY,Yes,No,No,No,No,Yes,9/17/2002,1.5,82.9,100,93.3,60.6,63,66.2,68,60.2,14.5,0,90.2,108,130,83.08,84.71,77.88,89.75,Same As National Rate,1,119,0.84,3.31,2.34,4.62,Same As National Rate
58135,INTRA CARE HOME HEALTH PROVIDERS  INC,LOS ANGELES,90010,3239640884,PROPRIETARY,No,Yes,Yes,Yes,Yes,No,10/3/2002,3.5,95.6,99.2,97.5,76.9,93.8,84.1,94.1,73.1,15.7,0,97.2,542,839,64.6,74.56,71.44,77.86,Worse Than National Rate,21,549,3.83,3.34,2.58,4.35,Same As National Rate
58136,ULTIMATE HOME CARE  INC,GLENDALE,91207,8182444210,PROPRIETARY,Yes,No,No,No,Yes,Yes,10/17/2002,4,100,100,96.8,63.6,56,90.6,94.3,97,8.5,8.1,95.2,218,251,86.85,85.85,81.61,89.76,Better Than National Rate,3,148,2.03,3.46,2.46,4.8,Same As National Rate
58137,LEGACY HOMECARE  INC,WHITTIER,90606,5625680162,PROPRIETARY,Yes,No,No,Yes,No,Yes,9/27/2002,4,98.8,94.3,98.4,88,85.8,95.7,90.4,77.9,17.9,0,60.2,445,563,79.04,86.87,83.5,90.59,Better Than National Rate,7,215,3.26,3.33,2.47,4.41,Same As National Rate
58139,NEW HORIZON HOME HEALTH CARE,GLENDALE,91205,8182444007,PROPRIETARY,Yes,No,No,No,No,Yes,10/23/2002,4.5,98.4,98.4,73.6,95.7,98.2,89.6,96.8,74.1,13.8,0,98.4,293,349,83.95,82.97,79.17,86.45,Better Than National Rate,5,290,1.72,3.45,2.43,4.79,Same As National Rate
58141,ALL CARE HOME HEALTH OF SAN GABRIEL,ROSEMEAD,91770,6265710617,PROPRIETARY,Yes,Yes,No,No,No,Yes,10/5/2002,3,100,100,97.5,52.7,73.2,66.1,68.1,81.7,11,0,99,611,707,86.42,91,88.4,93.49,Better Than National Rate,14,264,5.3,3.78,2.81,4.98,Same As National Rate
58142,ALTA VISTA HEALTH SERVICES,COVINA,91723,6269182868,PROPRIETARY,Yes,No,No,No,No,Yes,10/28/2002,,,,,,,,,,,,,48,85,56.47,67.42,56.98,78.33,Worse Than National Rate,1,22,4.55,3.48,2.37,4.92,Same As National Rate
58144,PROFESSIONAL HOME HEALTH SERVICES,WEST COVINA,91791,6267324541,PROPRIETARY,No,No,No,No,Yes,No,12/5/2002,,88,100,,,,,,,28.1,,8,78,121,64.46,70.21,61.75,77.86,Worse Than National Rate,4,54,7.41,3.74,2.66,5.19,Same As National Rate
58145,ALWAYS STAY HOME NURSING,HAWTHORNE,90250,3102192857,PROPRIETARY,Yes,No,No,No,No,Yes,11/18/2002,,,,,,,,,,13,,,45,95,47.37,53.29,43.66,63.75,Worse Than National Rate,,11,,,,,Not Available
58146,VALLEY CARE HOME HEALTH SERVICES  INC,TEMECULA,92590,9516766438,PROPRIETARY,Yes,No,No,No,No,No,12/4/2002,3.5,100,99.8,78.1,88.5,71.8,75.6,94.5,74.7,17.1,0.3,100,1206,1476,81.71,94.38,92.53,96.69,Better Than National Rate,43,1111,3.87,3.29,2.62,4.05,Same As National Rate
58148,QUALITY HOME HEALTH AGENCY,ONTARIO,91761,9093903293,PROPRIETARY,Yes,No,No,No,No,Yes,11/5/2002,,,,,,,,,,,,,,,,,,,,,,,,,,
58149,COMFORT HOME HEALTH CARE  INC,LONG BEACH,90807,5629974150,PROPRIETARY,Yes,Yes,No,No,No,Yes,12/24/2002,1.5,85.5,100,90.1,53.9,50.8,47.3,59.9,50.9,15,0,93.6,159,200,79.5,82.62,76.35,88.16,Same As National Rate,0,61,0,3.24,2.21,4.45,Same As National Rate
58150,DESERT HOME HEALTH SERVICES  INC,PALM SPRINGS,92264,7603189006,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,1/23/2003,3,90.9,93.4,88.6,71.9,77,75.4,86.3,77.2,11.9,0.9,67.3,1472,1601,91.94,90.6,89.3,91.95,Better Than National Rate,39,1629,2.39,3.52,2.79,4.37,Same As National Rate
58151,DEVOTED HOME HEALTH SERVICES,CHATSWORTH,91311,8183685759,PROPRIETARY,Yes,Yes,No,No,No,Yes,1/6/2003,,,,,,,,,,,,,,14,,,,,Not Available,2,23,8.7,3.64,2.52,5.18,Same As National Rate
58152,VIRGINIA HOME CARE AGENCY,PASADENA,91105,6267965296,PROPRIETARY,No,No,No,No,No,Yes,12/31/2002,,,,,,,,,,18.2,,,374,458,81.66,79.35,76.16,82.37,Same As National Rate,8,249,3.21,3.77,2.72,5.21,Same As National Rate
58153,DEDICATED HOME HEALTH CARE,GLENDALE,91204,8185482684,PROPRIETARY,No,No,No,No,No,Yes,1/16/2003,,,,,,,,,,15.7,,,185,246,75.2,80.18,73.9,85.08,Same As National Rate,6,155,3.87,3.53,2.57,4.82,Same As National Rate
58154,INTEGRITY HOME CARE CORPORATION,NORTHRIDGE,91324,8183416844,PROPRIETARY,No,No,No,No,No,Yes,1/9/2003,,100,100,80,,,,,,16.7,,100,151,212,71.23,77.16,70.51,83.25,Same As National Rate,4,168,2.38,3.3,2.33,4.55,Same As National Rate
58155,MED CARE PLUS HOME HEALTH INC,PASADENA,91107,6267960534,PROPRIETARY,Yes,No,No,No,No,Yes,1/16/2003,3.5,98.5,99.2,88.1,84.9,87.3,89.9,81.5,78.3,14.7,0,92.5,403,555,72.61,75.36,71.76,79.31,Same As National Rate,9,206,4.37,3.82,2.73,5.3,Same As National Rate
58156,ASSISTED HEALTHCARE SERVICES,WEST COVINA,91790,6269155595,PROPRIETARY,Yes,No,No,No,No,Yes,10/23/2002,,,,,,,,,,,,,,,,,,,,,,,,,,
58158,VALLEY HOME HEALTH  INC,N HOLLYWOOD,91606,8185096764,PROPRIETARY,No,No,Yes,No,No,No,1/27/2003,2,98.4,98.4,75.5,57.7,60.3,71.3,40.6,71.2,19.4,0,91.8,113,155,72.9,77.29,70.23,83.95,Same As National Rate,2,38,5.26,3.51,2.5,4.91,Same As National Rate
58160,CARING HANDS HOME HEALTH AGENCY  INC,CULVER CITY,90230,3102580258,PROPRIETARY,Yes,No,No,No,Yes,Yes,2/6/2003,,,,,,,,,,,,,7,26,26.92,38.76,22.67,58.11,Worse Than National Rate,,4,,,,,Not Available
58161,LOS ANGELES HOME HEALTH CARE,LOS ANGELES,90034,3105592290,PROPRIETARY,Yes,No,No,No,No,Yes,2/10/2003,,,,,,,,,,,,,30,58,51.72,59.44,46.54,71.38,Worse Than National Rate,,11,,,,,Not Available
58163,HYE NURSES HOME HEALTH INC,N HOLLYWOOD,91606,8185091892,PROPRIETARY,Yes,No,No,No,No,Yes,2/13/2003,,100,100,89.7,,,,,,10.4,,97.2,47,73,64.38,66.5,56,76.35,Worse Than National Rate,,18,,,,,Not Available
58164,VISION HOME HEALTH AND HOSPICE CARE  INC,RIVERSIDE,92506,9517878903,PROPRIETARY,Yes,No,No,No,Yes,Yes,3/13/2003,3,99.6,99.6,76.1,77.7,83.1,71.5,76.9,58.2,11.6,0,97.5,69,82,84.15,85.57,76.61,91.98,Same As National Rate,2,35,5.71,3.52,2.56,4.96,Same As National Rate
58165,UNISON HEALTH SERVICES  INC,ROSEMEAD,91770,6262805575,PROPRIETARY,Yes,No,No,No,No,Yes,3/14/2003,4,100,99.6,98.4,75.4,83.5,89.3,85,81,13.9,0,99.2,84,125,67.2,77.32,67.3,86.25,Same As National Rate,5,102,4.9,3.48,2.49,4.71,Same As National Rate
58166,IMMACULATE HOME HEALTH PROVIDERS,DOWNEY,90240,5628067022,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,2/6/2003,3.5,98.7,100,63.4,76.7,73.3,79.9,95.5,33.1,10.5,0,100,393,638,61.6,62.33,58.26,66.08,Worse Than National Rate,,13,,,,,Not Available
58167,HEALTH CARE SOLUTIONS SERVICES  INC,BREA,92821,7146747403,PROPRIETARY,No,No,No,No,No,No,3/26/2003,1.5,76.9,98.5,83.3,57.4,50.7,56.7,40.7,38.7,13.8,0,46.2,114,168,67.86,74.92,67.25,81.82,Same As National Rate,0,38,0,3.31,2.44,4.66,Same As National Rate
58172,MC HOME HEALTH SERVICES  INC,WALNUT,91789,6268541450,PROPRIETARY,Yes,No,No,No,Yes,No,3/18/2003,,,,,,,,,,7.5,,,60,103,58.25,62.66,53.36,71.82,Worse Than National Rate,,8,,,,,Not Available
58173,ALLIANCE HOME HEALTH CARE,PLEASANTON,94588,9252759300,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,4/23/2003,4,96.4,100,94.4,88.8,84.6,93.3,96.8,89.8,17.1,0,96.4,140,170,82.35,85.24,79.25,90.17,Better Than National Rate,6,127,4.72,3.68,2.63,5.08,Same As National Rate
58177,RELY ABLE HOME HEALTH CARE,GLENDALE,91203,8182416470,PROPRIETARY,Yes,No,No,No,No,Yes,4/24/2003,2,87.3,90.1,95.3,57.1,77.5,81.9,68.2,51.7,12.2,0.1,84.6,312,347,89.91,92.62,89.07,95.41,Better Than National Rate,4,121,3.31,3.48,2.41,4.88,Same As National Rate
58180,ANNEX HEALTHCARE PROVIDERS  INC,WOODLAND HILLS,91367,8185092661,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,4/24/2003,,,,,,,,,,,,,,1,,,,,Not Available,,,,,,,
58181,VANURA HOME HEALTH SERVICES  INC,RANCHO CUCAMONGA,91730,9099891230,PROPRIETARY,Yes,No,No,No,Yes,Yes,4/29/2003,3,84,97.2,92.6,84.7,86,85.2,73.7,74.2,15,0,91,604,974,62.01,69.66,66.73,72.82,Worse Than National Rate,27,464,5.82,4.15,3.24,5.32,Same As National Rate
58183,EXCELLENT CARE HOME HEALTH SERVICES  INC,RANCHO CUCAMONGA,91730,9095813536,PROPRIETARY,Yes,No,No,No,No,No,5/21/2003,4,96.2,100,93.2,83.8,94.1,96.9,81.9,100,17.2,0,100,123,170,72.35,75.18,68.08,81.69,Same As National Rate,2,21,9.52,3.63,2.58,5.05,Same As National Rate
58184,HOPE PROFESSIONAL SERVICES  INC,RIVERSIDE,92503,9513519901,PROPRIETARY,Yes,No,No,No,No,Yes,6/25/2003,5,97,100,92.7,100,100,100,100,100,11.5,0,0,250,262,95.42,92.7,89.96,95.01,Better Than National Rate,,2,,,,,Not Available
58186,LA HOME HEALTH PROVIDER,UPLAND,91786,9095990777,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,7/9/2003,,,,,,,,,,5.8,,,68,102,66.67,71.66,62.68,79.65,Same As National Rate,0,53,0,3.31,2.34,4.71,Same As National Rate
58188,JOY HEALTH CARE SERVICES,RIVERSIDE,92503,9513524400,PROPRIETARY,No,Yes,No,No,No,Yes,7/24/2003,,73,94.1,64.9,,,,,,,,56.8,27,32,84.38,87.63,73.84,97.36,Same As National Rate,1,25,4,3.52,2.43,5.08,Same As National Rate
58189,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,SANTA ROSA,95401,7075355600,VOLUNTARY NON-PROFIT - OTHER,Yes,Yes,Yes,Yes,Yes,Yes,5/20/2003,3.5,94.8,98.5,81.4,81.5,84.5,84.9,85,75.4,13.6,0,98,1710,2006,85.24,88.63,87.28,90.33,Better Than National Rate,41,1810,2.27,3.15,2.53,3.94,Same As National Rate
58190,VICTORY HOME HEALTH AGENCY,MORENO VALLEY,92553,9519245114,PROPRIETARY,Yes,No,No,No,No,Yes,8/20/2003,,,,,,,,,,,,,40,72,55.56,63.92,52.52,75.74,Worse Than National Rate,,9,,,,,Not Available
58191,ALLSUPREME HOME CARE INC,LOS ANGELES,90066,3102738616,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,7/31/2003,,,,,,,,,,,,,29,43,67.44,74.38,61.28,86.57,Same As National Rate,,15,,,,,Not Available
58192,HOME CARE PROMINENCE,BURBANK,91506,3233440017,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,6/14/2003,,,,,,,,,,13.1,,,114,130,87.69,92.08,84.94,96.61,Better Than National Rate,2,27,7.41,3.62,2.6,5.16,Same As National Rate
58194,REMEDY HOME CARE,LOS ANGELES,90064,3104465777,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,8/13/2003,3.5,95.2,96.6,87.2,91.8,95.6,82.4,78.3,51.7,11,0,95.2,160,194,82.47,87.98,82.23,92.77,Better Than National Rate,3,130,2.31,3.38,2.41,4.73,Same As National Rate
58195,ST MARY'S HOME HEALTH SERVICES  INC,FRESNO,93726,5592219919,PROPRIETARY,Yes,Yes,Yes,No,Yes,Yes,9/23/2003,2,89.7,91.8,67.6,64.9,70.9,75.4,86.9,76.8,18.9,0.9,95.9,696,832,83.65,89.23,86.89,92.12,Better Than National Rate,9,257,3.5,3.37,2.49,4.47,Same As National Rate
58198,MULTI-SKILLED HOME CARE SERVICES  INC,WALNUT,91789,9095950200,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,9/26/2003,,100,100,87.5,,,,,,14.1,,94.4,155,213,72.77,80.77,74.51,86.68,Same As National Rate,4,93,4.3,3.62,2.56,5.17,Same As National Rate
58199,EAST BAY HOME HEALTH SERVICES,FAIRFIELD,94533,7074281473,PROPRIETARY,No,No,No,No,Yes,Yes,10/10/2003,3.5,96.4,100,80.4,73.2,86.2,84,91.7,77.7,8.7,0.6,99.5,200,236,84.75,91,85.72,95.32,Better Than National Rate,3,100,3,3.32,2.39,4.63,Same As National Rate
58200,SUNRISE HOME CARE SERVICES INC,MONTEREY PARK,91754,6262894200,PROPRIETARY,Yes,No,No,No,No,Yes,10/20/2003,,,,,,,,,,36.9,,,66,105,62.86,69.34,60.34,78.24,Worse Than National Rate,,13,,,,,Not Available
58201,AGAPE HOME HEALTH SERVICES  INC,CITY OF INDUSTRY,91748,6265818168,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,10/21/2003,3,98.9,84.7,84.9,81,78.5,76.8,87.2,72.9,17.8,0,74.4,278,348,79.89,87.07,82.63,91.77,Better Than National Rate,2,136,1.47,3.08,2.23,4.27,Same As National Rate
58202,L A FAMILY HOME HEALTH INC,LOS ANGELES,90026,2134812500,PROPRIETARY,Yes,Yes,No,Yes,Yes,Yes,10/7/2003,1.5,88.9,95.8,41.9,30.1,25,49.6,26.9,41.9,11.4,0,80.6,169,201,84.08,84.88,79.82,89.76,Better Than National Rate,0,28,0,3.39,2.25,4.85,Same As National Rate
58203,HERALDS HOME HEALTH,LONG BEACH,90807,5629880395,PROPRIETARY,No,No,No,No,No,Yes,11/4/2003,,,,,,,,,,18.3,,,112,155,72.26,81.28,74.13,88.51,Same As National Rate,4,71,5.63,3.59,2.56,4.97,Same As National Rate
58205,ROYAL MAJESTY HOME CARE  INC,LONG BEACH,90807,5624929600,PROPRIETARY,Yes,No,No,No,No,Yes,10/31/2003,3,92.5,100,73.2,70.8,66.6,73.8,92.4,76.4,12,0,100,173,223,77.58,85.41,79.18,90.87,Better Than National Rate,7,138,5.07,3.75,2.69,5.18,Same As National Rate
58207,LEGACY HEALTH CARE PROVIDERS INC,COVINA,91724,6268585611,PROPRIETARY,Yes,No,No,No,No,Yes,10/28/2003,4,98,98,68.2,89.1,100,91.1,98.2,76.8,17.1,0,96.1,74,113,65.49,70.14,61.33,78.8,Same As National Rate,,15,,,,,Not Available
58210,CRYSTAL HOME HEALTH CARE SERVICES  INC,LONG BEACH,90807,5624273690,PROPRIETARY,Yes,No,No,No,No,Yes,10/30/2003,3.5,98.8,98.8,75.9,81.4,86,84.1,81.8,75.2,14,0,97.6,69,84,82.14,82.5,74.8,88.9,Same As National Rate,2,72,2.78,3.51,2.59,4.91,Same As National Rate
58212,EXCELL HOME CARE INC,PARAMOUNT,90723,5629883370,PROPRIETARY,Yes,No,No,No,No,Yes,10/10/2003,5,100,100,99.8,100,100,100,100,100,13.8,0,99.3,994,1390,71.51,83.57,80.91,86.42,Better Than National Rate,34,703,4.84,3.65,2.87,4.64,Same As National Rate
58213,INTENSIVE HOME HEALTH CARE  INC,DIAMOND BAR,91765,9093968585,VOLUNTARY NON-PROFIT - PRIVATE,Yes,No,No,No,No,No,10/23/2003,,,,,,,,,,,,,,15,,,,,Not Available,,14,,,,,Not Available
58215,FIVE STAR HOME HEALTH  INC,LOS ANGELES,90045,3106420026,PROPRIETARY,Yes,No,No,No,No,Yes,10/28/2003,2.5,95.1,98.3,84,72.1,75.3,69.7,85.8,57.6,16.8,0,93.4,204,302,67.55,72.15,66.52,77.75,Worse Than National Rate,0,65,0,3.29,2.34,4.65,Same As National Rate
58216,FOCUS HEALTH,STOCKTON,95207,2094727005,PROPRIETARY,No,No,No,Yes,Yes,Yes,12/2/2003,3,92.8,100,69.8,80.9,82.2,83.2,94.8,69.7,16.9,0,97.3,1342,1642,81.73,89.31,87.43,91.36,Better Than National Rate,36,1172,3.07,3.31,2.54,4.12,Same As National Rate
58217,BRADBOURNE HEALTHCARE  INC,COVINA,91722,6268140200,PROPRIETARY,Yes,Yes,No,Yes,Yes,Yes,11/26/2003,4.5,97.2,99.1,95.1,92.4,100,93.3,99.8,100,15.8,0,99.1,154,230,66.96,74.47,67.57,79.97,Same As National Rate,7,83,8.43,3.82,2.77,5.34,Same As National Rate
58218,CONCORD HOME HEALTH CARE,PASADENA,91101,6267920911,PROPRIETARY,Yes,No,No,No,No,Yes,10/16/2003,4,100,100,97.3,83.4,84.8,84.6,87.1,84.1,15.4,0,99.6,658,844,77.96,80.36,77.45,83.08,Same As National Rate,18,510,3.53,3.97,3.04,5.14,Same As National Rate
58219,SELECT CARE HEALTH SERVICES INC,LOS ANGELES,90005,2133893582,PROPRIETARY,Yes,No,No,No,Yes,No,11/10/2003,5,100,100,98.2,100,100,100,100,100,13.1,0,99.8,891,982,90.73,94.77,92.8,96.76,Better Than National Rate,7,142,4.93,3.71,2.75,5.18,Same As National Rate
58221,MEDCARE HOME HEALTH SERVICES  INC,PANORAMA CITY,91402,8187852152,PROPRIETARY,No,No,No,No,No,Yes,11/24/2003,,,,,,,,,,11.8,,,229,278,82.37,90.31,84.69,94.96,Better Than National Rate,2,81,2.47,3.35,2.42,4.66,Same As National Rate
58224,MOTHER THERESA'S HOME HEALTH SERVICES,BURBANK,91505,8185059099,PROPRIETARY,No,No,No,No,No,Yes,11/17/2003,2.5,89,91.5,57.8,74.3,75.5,74.4,76.1,78.5,16.2,0,82.2,508,625,81.28,84,80.94,87.22,Better Than National Rate,10,148,6.76,3.9,2.87,5.36,Same As National Rate
58226,GIDDA'S HOME HEALTH SERVICES  INC,HAWTHORNE,90250,3106440985,PROPRIETARY,Yes,No,No,No,No,Yes,11/10/2003,,77.3,70.8,71.4,,,,,,17.4,,8,72,108,66.67,70.56,61.11,78.93,Same As National Rate,0,22,0,3.43,2.33,4.99,Same As National Rate
58227,CORINTHIAN HEALTH CARE SERVICES  INC,RESEDA,91335,8188818388,PROPRIETARY,Yes,No,No,No,No,Yes,12/12/2003,,95.5,100,100,,,,,,15,,95.5,108,144,75,84.22,75.82,90.97,Same As National Rate,3,56,5.36,3.54,2.49,5.08,Same As National Rate
58228,STAR HOME HEALTH SERVICES  INC,MONTCLAIR,91763,9099200675,PROPRIETARY,Yes,Yes,No,No,No,Yes,12/18/2003,,,,,,,,,,24.6,,,11,49,22.45,31.75,18.9,46.4,Worse Than National Rate,2,31,6.45,3.59,2.56,5.21,Same As National Rate
58230,RELIABLE HOME HEALTH,LA MIRADA,90638,7145620090,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/12/2003,,62.5,91.7,,,,,,,17.4,0,72,110,117,94.02,94.12,88.08,97.92,Better Than National Rate,0,31,0,3.38,2.37,4.9,Same As National Rate
